15	10	E	-7555723.021070745	200
transitionprobs	11	12	0.01021411788370606
transitionprobs	11	13	0.004195493603054862
transitionprobs	11	14	6.662867045409006E-4
transitionprobs	11	15	1.6054348177296254E-6
transitionprobs	12	1	0.0018456805878935515
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.01636306250325004
transitionprobs	12	5	9.739569507524697E-4
transitionprobs	12	6	0.010511082288678752
transitionprobs	12	7	0.0016902706875886928
transitionprobs	12	8	1.729849826103528E-5
transitionprobs	12	9	0.0
transitionprobs	12	10	0.009308455257911056
transitionprobs	12	11	0.033520432971357365
transitionprobs	12	12	0.7450141431381475
transitionprobs	12	13	0.18060162174308925
transitionprobs	12	14	1.53995373070017E-4
transitionprobs	12	15	0.0
transitionprobs	13	1	0.007414518225411628
transitionprobs	13	2	0.06659368142242844
transitionprobs	13	3	0.002683329669971776
transitionprobs	13	4	0.00903021631605548
transitionprobs	13	5	8.664805509457932E-4
transitionprobs	13	6	0.0023693148723240754
transitionprobs	13	7	0.012647866766108212
transitionprobs	13	8	2.875704507473726E-4
transitionprobs	13	9	0.001993716816747974
transitionprobs	13	10	0.08928184536563469
transitionprobs	13	11	0.005083089222559875
transitionprobs	13	12	0.08092036121685145
transitionprobs	13	13	0.7192189666706102
transitionprobs	13	14	0.0016023471918912564
transitionprobs	13	15	6.695241711608549E-6
transitionprobs	14	1	5.265164762402073E-4
transitionprobs	14	2	0.003017148619112911
transitionprobs	14	3	2.4788968785307197E-4
transitionprobs	14	4	0.0
transitionprobs	14	5	4.087905729664863E-5
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	0.003844173191608967
transitionprobs	14	9	0.0021310939488212695
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0012685866104182942
transitionprobs	14	12	1.013587717087042E-4
transitionprobs	14	13	0.0018344615134282993
transitionprobs	14	14	0.9232643069141406
transitionprobs	14	15	0.06372358520937099
transitionprobs	15	1	0.0
transitionprobs	15	2	1.1337155488229743E-4
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	5.6404471318734865E-5
transitionprobs	15	8	4.8392779804925006E-5
transitionprobs	15	9	3.90567138190481E-5
transitionprobs	15	10	0.0010725138462498952
transitionprobs	15	11	2.7869338827450586E-8
transitionprobs	15	12	0.0
transitionprobs	15	13	3.2745095176710224E-8
transitionprobs	15	14	0.001777770852415634
transitionprobs	15	15	0.9968924291670754
emissionprobs	1	0	3K9ac	0	0.9966035741086301
emissionprobs	1	0	3K9ac	1	0.003396425891369952
emissionprobs	1	1	H2AFZ	0	0.9988985373841404
emissionprobs	1	1	H2AFZ	1	0.0011014626158597014
emissionprobs	1	2	H3K27ac	0	0.9995027259716233
emissionprobs	1	2	H3K27ac	1	4.972740283767695E-4
emissionprobs	1	3	H3K27me3	0	0.9932770129604859
emissionprobs	1	3	H3K27me3	1	0.006722987039514136
emissionprobs	1	4	H3K36me3	0	0.4910481173817091
emissionprobs	1	4	H3K36me3	1	0.5089518826182909
emissionprobs	1	5	H3K4me1	0	0.9881108105051557
emissionprobs	1	5	H3K4me1	1	0.011889189494844226
emissionprobs	1	6	H3K4me2	0	0.9987131102486115
emissionprobs	1	6	H3K4me2	1	0.0012868897513884656
emissionprobs	1	7	H3K4me3	0	0.9997841443005145
emissionprobs	1	7	H3K4me3	1	2.1585569948552567E-4
emissionprobs	1	8	H3K79me2	0	0.9232267808667448
emissionprobs	1	8	H3K79me2	1	0.0767732191332551
emissionprobs	1	9	H3K9me3	0	0.9942691973183684
emissionprobs	1	9	H3K9me3	1	0.005730802681631686
emissionprobs	2	0	3K9ac	0	0.9982346379303698
emissionprobs	2	0	3K9ac	1	0.0017653620696301332
emissionprobs	2	1	H2AFZ	0	0.9982926693819902
emissionprobs	2	1	H2AFZ	1	0.0017073306180096517
