State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9287003057467768	0.0582274170467707	0.004708898741693246	0.0025741246130261755	4.375383384981712E-5	0.0	0.0	0.0	0.0	0.0	0.0	3.753690860888403E-4	0.005078333008130441	2.917979236640881E-4	0.0
2	0.01637256160908494	0.9528853615388055	0.013648716826604849	4.611126914856658E-4	1.2505021290786685E-4	0.0	8.15151026454207E-4	2.4350627202219335E-5	1.7556976974634353E-5	0.002457067744063856	2.392397878760702E-5	0.0	0.0121865109229688	4.0239470604686787E-4	5.802411386131125E-4
3	0.0027893217930059803	0.02856309659447393	0.9339353004262748	0.0315788153768425	0.0021412823313740463	0.0	0.0	1.1763139328751536E-5	0.0	0.0	8.397598407621394E-6	0.0	9.084550076168561E-4	6.356773267584355E-5	0.0
4	0.007001545060615605	0.004095163554963105	0.15140511665314474	0.748437000105931	0.05889893363542603	0.0	9.683481752729641E-4	1.1414750400798799E-5	0.0	0.0	0.0	0.012537086259997656	0.016645391804248157	0.0	0.0
5	3.053956873451567E-4	0.0025847588569263267	0.021542575553691167	0.1241216201411234	0.7412034158172469	0.10204580298949455	0.0035903972658495814	5.9688181176978295E-5	0.0	0.0	0.0	0.0019713886944796944	0.002461889439375468	8.393969223008355E-5	2.9127681060769386E-5
6	0.0	0.0	0.0	0.0	0.08088242396902916	0.8010137803685602	0.09777455046374742	0.0	0.0	0.0	0.0	0.013241816610061866	0.0070874285886013905	0.0	0.0
7	0.0	0.012882297729780268	0.0	0.00168396801098031	0.0034570084462920117	0.1071407686292216	0.6537862669772544	0.015612733701067364	0.0	0.0393249561800163	0.12338073660085673	0.0012938969466019955	0.03571655121126673	0.0	0.005720815566662156
8	1.2691487660853066E-4	0.0017428131744164942	6.692793861968403E-5	0.0	1.0726283367517813E-4	1.4093490663365143E-4	0.03975042784612529	0.7322871076444415	0.18914992980531803	1.38191393724817E-5	0.0	0.0	0.002629714646515446	0.02481485697936176	0.009169290208911881
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008060410104349046	0.9536479451056598	0.036794697958163904	0.0	0.0	5.326957323913519E-4	5.123246083256272E-4	4.519264911103935E-4
10	0.0	5.774896246065636E-4	0.0	0.0	0.0	0.0	6.160087208288216E-4	5.4507663586031056E-8	0.005058301242794936	0.9680536944226767	0.020126820222993246	1.6725569597015447E-4	0.004064252208214395	0.0	0.001336123354251472
11	0.0	1.9925493682605938E-5	0.0	0.0	0.0	0.0	0.029185541311518275	1.352228985585278E-4	0.0	0.32672923566403633	0.6288525710060846	0.01021411788370606	0.004195493603054862	6.662867045409006E-4	1.6054348177296254E-6
12	0.0018456805878935515	0.0	0.0	0.01636306250325004	9.739569507524697E-4	0.010511082288678752	0.0016902706875886928	1.729849826103528E-5	0.0	0.009308455257911056	0.033520432971357365	0.7450141431381475	0.18060162174308925	1.53995373070017E-4	0.0
13	0.007414518225411628	0.06659368142242844	0.002683329669971776	0.00903021631605548	8.664805509457932E-4	0.0023693148723240754	0.012647866766108212	2.875704507473726E-4	0.001993716816747974	0.08928184536563469	0.005083089222559875	0.08092036121685145	0.7192189666706102	0.0016023471918912564	6.695241711608549E-6
14	5.265164762402073E-4	0.003017148619112911	2.4788968785307197E-4	0.0	4.087905729664863E-5	0.0	0.0	0.003844173191608967	0.0021310939488212695	0.0	0.0012685866104182942	1.013587717087042E-4	0.0018344615134282993	0.9232643069141406	0.06372358520937099
15	0.0	1.1337155488229743E-4	0.0	0.0	0.0	0.0	5.6404471318734865E-5	4.8392779804925006E-5	3.90567138190481E-5	0.0010725138462498952	2.7869338827450586E-8	0.0	3.2745095176710224E-8	0.001777770852415634	0.9968924291670754
